合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,373.00,373.00,371.00,371.45,-1.94,-0.52%,371.70,414.00,"153,885,100.00",-,,
Au99.99,372.40,373.79,371.10,371.95,-0.15,-0.04%,371.71,"21,538.32","7,740,728,174.80",-,,
Au100g,372.27,375.00,371.13,372.26,0.10,0.03%,372.78,28.40,"10,587,172.00",-,,
iAu99.99,379.44,379.50,375.00,377.52,1.92,0.51%,377.51,"4,204.46","1,586,226,937.60",-,,
iAu100g,309.00,309.00,309.00,309.00,18.17,6.25%,309.00,0.20,"61,800.00",-,,
Au(T+D),373.00,374.00,371.11,371.77,-1.09,-0.29%,372.03,"59,096.00","21,986,057,180.00","242,200",多支付给空,"11,988"
Au(T+N1),374.30,374.35,372.00,372.85,-1.25,-0.33%,373.10,9.00,"3,357,890.00","194,580",,
Au(T+N2),376.50,376.65,374.05,375.35,-1.85,-0.49%,375.95,4.20,"1,579,070.00","118,074",,
mAu(T+D),373.00,374.00,371.13,371.97,-0.88,-0.24%,372.17,"8,306.40","3,091,407,394.00","888,770",多支付给空,"30,984"
Pt99.95,177.00,177.65,176.50,177.00,-1.33,-0.75%,176.94,126.00,"22,295,240.00",-,,
Ag(T+D),"3,746","3,770","3,655","3,701",-44,-1.17%,"3,698","8,219,372.00","30,396,434,016.00","9,517,016",空支付给多,"12,120"
NYAuTN06,380.10,384.90,379.50,383.60,3.80,1.00%,382.25,"1,474.00","563,464,370.00","68,000",,
NYAuTN12,381.80,385.35,380.25,385.05,4.10,1.08%,383.50,925.60,"354,955,630.00","53,478",,
PGC30g,380.00,380.00,331.10,377.88,-0.71,-0.19%,374.87,0.84,"314,892.60",-,,
