item,open,high,low,close,up_or_down,version_date
sample,0.0,0.0,0.0,0.0,0.0,20000101
Au100g,274.21,274.90,274.05,274.86,0.36,20171108
Au9995,274.30,274.55,274.30,274.51,0.29,20171108
Au9999,274.98,274.98,273.22,274.57,0.23,20171108
Pt9995,212.75,213.55,212.75,213.02,-0.44,20171108
iAu9999,272.04,273.00,272.04,272.84,0.19,20171108
Ag99.99,"3,990.00","3,990.00","3,890.00","3,895.00",32,20171108
Ag(T+D),"3,845.00","3,863.00","3,842.00","3,850.00",1,20171108
Au(T+D),273.97,274.62,273.70,274.50,0.52,20171108
Au(T+N1),276.35,279.50,276.35,278.75,-0.15,20171108
Au(T+N2),274.95,274.95,274.70,274.90,0.25,20171108
mAu(T+D),274.25,274.65,273.70,274.52,0.41,20171108
Au100g,275.00,275.80,274.55,275.08,0.22,20171109
Au9995,274.85,275.40,274.80,275.34,0.83,20171109
Au9999,274.85,275.45,274.50,275.37,0.8,20171109
Pt9995,213.49,214.22,213.49,214.12,1.1,20171109
iAu9999,273.40,274.00,273.30,273.95,1.11,20171109
Ag(T+D),"3,854.00","3,866.00","3,851.00","3,857.00",7,20171109
Au(T+D),274.70,275.54,274.43,275.40,1.07,20171109
Au(T+N1),279.50,280.30,279.20,279.90,0.9,20171109
Au(T+N2),275.15,275.95,275.15,275.90,1.15,20171109
mAu(T+D),274.60,275.61,274.60,275.41,1.08,20171109
Au100g,275.08,276.50,275.08,276.40,1.32,20171110
Au9995,276.00,276.25,275.80,275.91,0.57,20171110
Au9999,276.52,276.52,275.04,275.94,0.57,20171110
Pt9995,214.88,216.00,214.88,215.44,1.32,20171110
iAu9999,274.30,274.79,274.15,274.29,0.34,20171110
Ag99.99,"3,868.00","3,868.00","3,868.00","3,868.00",-27,20171110
Ag(T+D),"3,862.00","3,869.00","3,847.00","3,852.00",-5,20171110
Au(T+D),275.80,276.42,275.68,276.00,0.93,20171110
Au(T+N1),281.05,281.10,280.30,280.90,1.5,20171110
Au(T+N2),276.60,276.85,276.20,276.65,1.25,20171110
mAu(T+D),275.81,276.45,275.75,275.97,0.89,20171110
Au99.95,276.20,276.20,274.60,274.73,-1.18,20171113
Au99.99,276.90,277.21,274.70,274.99,-0.95,20171113
Au100g,276.68,276.82,275.00,275.12,-1.28,20171113
iAu99.99,273.51,273.51,273.27,273.28,-1.01,20171113
Au(T+D),276.05,276.35,274.62,274.85,-1.22,20171113
Au(T+N1),281.00,281.00,279.45,279.55,-1.35,20171113
Au(T+N2),276.55,276.55,275.25,275.25,-1.4,20171113
mAu(T+D),276.24,276.35,274.74,274.82,-1.28,20171113
Pt99.95,215.61,215.61,214.37,214.37,-1.07,20171113
Ag99.99,"3,950","3,950","3,950","3,950",82,20171113
