合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,持仓量,交收方向,交收量
Au9995,270.99,287.10,270.99,286.76,0.75,0.0026,286.63,"1,656.0","474,176,000.00",,,
Au9999,286.00,288.44,286.00,287.02,0.73,0.0025,286.87,"21,611.54","6,081,355,791.00",,,
Au100g,287.99,288.15,286.70,287.12,0.61,0.0021,287.21,48.0,"13,786,320.00",,,
iAu9999,286.80,288.05,286.50,287.07,-0.60,-0.0021,287.07,0.48,"137,797.00",,,
Au(T+D),286.01,288.29,285.90,286.79,0.47,0.0016,286.89,"46,596.0","13,368,003,340.00","194,658.0",多支付空,"9,150.0"
Au(T+N1),290.50,290.50,288.85,289.85,0.50,0.0017,289.85,"8,005.4","2,320,365,150.00","34,164.0",多支付空,338.0
Au(T+N2),286.45,290.00,286.45,288.50,0.45,0.0016,288.50,"8,005.4","2,309,558,790.00","189,702.0",,
mAu(T+D),286.11,288.43,286.00,286.89,0.46,0.0016,286.97,"6,221.8","1,785,505,988.00","299,560.0",多支付空,"26,982.0"
Pt9995,249.50,249.50,248.75,249.42,0.67,0.0027,249.16,142.0,"35,382,000.00",,,
Ag(T+D),4278.00,4328.00,4273.00,4305.00,-31.00,-0.0071,4302.00,"4,287,884.0","18,446,587,428.00","5,383,250.0",多支付空,"5,940.0"
