合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量,成交金额,市场持仓,交收方向,交收量
Au99.95,373.50,376.50,373.50,376.19,4.34,1.17%,376.24,328.00,"123,406,800.00",-,,
Au99.99,372.00,377.00,372.00,376.39,4.59,1.23%,376.51,"17,265.88","6,547,742,429.60",-,,
Au100g,373.89,377.90,373.81,377.90,6.32,1.70%,377.09,18.80,"7,089,354.00",-,,
iAu99.99,372.00,375.50,372.00,373.68,3.08,0.83%,373.11,0.84,"313,416.00",-,,
Au(T+D),371.96,377.00,371.96,376.02,4.47,1.20%,375.61,"27,494.00","10,327,106,820.00","154,982",空支付给多,"6,834"
Au(T+N1),373.10,378.90,373.10,378.85,4.95,1.32%,377.15,26.80,"10,107,640.00","60,512",,
Au(T+N2),377.90,382.00,377.90,381.00,3.50,0.93%,379.35,5.20,"1,972,610.00","63,300",,
mAu(T+D),372.06,377.00,372.06,376.10,4.59,1.24%,375.43,"4,182.20","1,570,148,020.00","720,700",多支付给空,"70,446"
Pt99.95,218.08,219.50,217.80,218.90,9.87,4.72%,218.72,404.00,"81,019,340.00",-,,
Ag(T+D),"4,885","4,958","4,853","4,935",130,2.71%,"4,907","2,806,408.00","13,772,947,984.00","7,299,378",空支付给多,"21,630"
NYAuTN06,374.95,379.30,374.95,378.75,4.35,1.16%,378.00,39.60,"14,968,750.00","27,706",,
NYAuTN12,378.90,383.20,378.75,382.95,4.25,1.12%,382.65,55.60,"21,275,320.00","13,668",,
PGC30g,382.22,382.22,381.40,381.63,7.06,1.88%,381.63,0.24,"91,591.20",-,,
