id,version_date,item,open,high,low,close,up_or_down,mapping,refresh_date
4,2017-11-08,Au9999,274.98,274.98,273.22,274.57,0.23,1.0,2022-01-04 02:27:46
15,2017-11-09,Au9999,274.85,275.45,274.5,275.37,0.8,1.0,2022-01-04 02:27:46
25,2017-11-10,Au9999,276.52,276.52,275.04,275.94,0.57,1.0,2022-01-04 02:27:46
35,2017-11-13,Au9999,276.9,277.21,274.7,274.99,-0.95,-1.0,2022-01-04 02:27:46
46,2017-11-14,Au9999,276.0,276.0,274.44,274.49,-0.5,-1.0,2022-01-04 02:27:46
57,2017-11-15,Au9999,274.49,275.3,273.75,275.05,0.56,1.0,2022-01-04 02:27:46
68,2017-11-16,Au9999,275.99,275.99,274.0,274.0,-1.05,-1.0,2022-01-04 02:27:46
79,2017-11-17,Au9999,275.18,275.18,274.25,274.85,0.85,1.0,2022-01-04 02:27:46
90,2017-11-20,Au9999,275.5,276.51,274.5,276.3,1.45,1.0,2022-01-04 02:27:46
100,2017-11-21,Au9999,276.79,276.79,274.66,274.89,-1.41,-1.0,2022-01-04 02:27:46
110,2017-10-25,Au9999,275.0,275.0,273.72,273.89,-1.12,-1.0,2022-01-04 02:27:46
121,2017-10-26,Au9999,273.51,274.88,273.51,274.5,0.61,1.0,2022-01-04 02:27:46
132,2017-10-27,Au9999,274.99,274.99,272.6,272.93,-1.57,-1.0,2022-01-04 02:27:46
143,2017-10-30,Au9999,273.5,273.76,272.4,272.92,-0.01,-1.0,2022-01-04 02:27:46
154,2017-10-31,Au9999,273.75,274.1,273.01,273.94,1.02,1.0,2022-01-04 02:27:46
165,2017-11-01,Au9999,274.3,274.3,272.61,273.45,-0.49,-1.0,2022-01-04 02:27:46
176,2017-11-02,Au9999,273.99,273.99,272.7,273.34,-0.11,-1.0,2022-01-04 02:27:46
187,2017-11-03,Au9999,273.5,273.98,272.81,273.6,0.26,1.0,2022-01-04 02:27:46
198,2017-11-06,Au9999,274.02,274.12,272.78,273.0,-0.6,-1.0,2022-01-04 02:27:46
209,2017-11-07,Au9999,273.65,274.77,273.1,274.34,1.34,1.0,2022-01-04 02:27:46
220,2017-10-11,Au9999,277.8,277.8,275.1,275.1,-1.11,-1.0,2022-01-04 02:27:46
231,2017-10-12,Au9999,276.35,276.68,274.9,276.25,1.15,1.0,2022-01-04 02:27:46
242,2017-10-13,Au9999,276.75,276.75,275.49,276.5,0.25,1.0,2022-01-04 02:27:46
251,2017-10-16,Au9999,276.51,278.15,276.1,278.05,1.55,1.0,2022-01-04 02:27:46
261,2017-10-17,Au9999,278.5,278.5,276.2,276.62,-1.43,-1.0,2022-01-04 02:27:46
272,2017-10-18,Au9999,277.5,277.5,275.16,275.7,-0.92,-1.0,2022-01-04 02:27:46
282,2017-10-19,Au9999,275.75,275.8,274.43,274.9,-0.8,-1.0,2022-01-04 02:27:46
293,2017-10-20,Au9999,276.8,276.8,274.81,274.82,-0.08,-1.0,2022-01-04 02:27:46
303,2017-10-23,Au9999,275.85,275.85,273.95,274.08,-0.74,-1.0,2022-01-04 02:27:46
313,2017-10-24,Au9999,273.81,275.7,273.3,275.01,0.93,1.0,2022-01-04 02:27:46
324,2017-09-20,Au9999,280.0,280.0,278.5,278.89,0.24,1.0,2022-01-04 02:27:46
334,2017-09-21,Au9999,279.39,279.96,276.1,276.45,-2.44,-1.0,2022-01-04 02:27:46
344,2017-09-22,Au9999,277.0,277.39,275.5,277.3,0.85,1.0,2022-01-04 02:27:46
353,2017-09-25,Au9999,276.4,277.98,275.71,276.55,-0.75,-1.0,2022-01-04 02:27:46
363,2017-09-26,Au9999,276.5,280.86,276.3,280.1,3.55,1.0,2022-01-04 02:27:46
373,2017-09-27,Au9999,280.1,280.2,277.65,277.65,-2.45,-1.0,2022-01-04 02:27:46
383,2017-09-28,Au9999,278.29,278.29,276.2,276.67,-0.98,-1.0,2022-01-04 02:27:46
